raw score,,,,,,,,,,,trial 1,trial 2,trial 3,trial 4,trial 5,trial 6,trial 7,trial 8,trial 9,trial 10,,mean,std
24.9,12.9,-8,6.4,-4.44444,-1,5.5,15.6,9.5,24.3,,39.3,37.3,41.3,47.9,40.4,27.7,33.1,32.1,43.3,34,,37.64,5.696876337
21.7,21.1,17.7,-6.33333,2.1,14.5,7.1,10.1,3.7,11.6,,39.3,37.3,41.3,47.9,40.4,27.7,33.1,32.1,43.3,34,,37.64,5.696876337
-0.777778,18.9,-2.88889,11.6,-94.8889,20.5,23.9,-18.3333,18.6,-1,,39.3,37.3,41.3,47.9,40.4,27.7,33.1,32.1,43.3,34,,37.64,5.696876337
13.9,10.4,13.2,4.4,-33.5556,27.4,-8,18.6,20.7,25.5,,39.3,37.3,41.3,47.9,40.4,27.7,33.1,32.1,43.3,34,,37.64,5.696876337
19.6,-5.55556,-2.66667,6.7,-6.55556,34.3,20.2,14.9,6.8,16.7,,39.3,37.3,41.3,47.9,40.4,34.3,33.1,32.1,43.3,34,,38.3,4.822240143
9.8,7.5,32,15.5,-8.22222,14.3,19.4,8.9,17.9,14.6,,39.3,37.3,41.3,47.9,40.4,34.3,33.1,32.1,43.3,34,,38.3,4.822240143
18,-0.888889,19.2,16.9,33,27,29.5,-18.8889,41.6,16.3,,39.3,37.3,41.3,47.9,40.4,34.3,33.1,32.1,43.3,34,,38.3,4.822240143
26.9,6.3,26.6,40.2,31.4,28.7,25.9,1,23.1,7.3,,39.3,37.3,41.3,47.9,40.4,34.3,33.1,32.1,43.3,34,,38.3,4.822240143
16.1,11.8,15.6,34.3,14.6,24.5,10.4,37.5,21.7,-4,,39.3,37.3,41.3,47.9,40.4,34.3,33.1,37.5,43.3,34,,38.84,4.379771684
-1.44444,27.7,-0.666667,-35.5556,-0.666667,23.7,18.8,0,-2.11111,27.3,,39.3,37.3,41.3,47.9,40.4,34.3,33.1,37.5,43.3,34,,38.84,4.379771684
8.3,5.1,27.6,12.7,6.3,13,3.7,-100,3,15.9,,39.3,37.3,41.3,47.9,40.4,34.3,33.1,37.5,43.3,34,,38.84,4.379771684
9.1,13.8,28.5,18.4,-23.2222,31.1,5.6,28.9,32,27,,39.3,37.3,41.3,47.9,40.4,34.3,33.1,37.5,43.3,34,,38.84,4.379771684
-5.22222,23.2,31.8,18.3,13.7,22.3,-5.77778,-9.88889,33.8,14.3,,39.3,37.3,41.3,47.9,40.4,34.3,33.1,37.5,43.3,34,,38.84,4.379771684
17.6,9.5,21.6,2,-1.22222,25,19.1,3.5,15.1,28,,39.3,37.3,41.3,47.9,40.4,34.3,33.1,37.5,43.3,34,,38.84,4.379771684
14.7,12.9,13.2,15.2,-4,23.9,14.8,5,-10.1111,-14.1111,,39.3,37.3,41.3,47.9,40.4,34.3,33.1,37.5,43.3,34,,38.84,4.379771684
