raw score,,,,,,,,,,,trial 1,trial 2,trial 3,trial 4,trial 5,trial 6,trial 7,trial 8,trial 9,trial 10,,mean,std
-19.2222,-79.8889,-100,-47.6667,-100,-100,-50.5556,-100,-18.6667,-28.5556,,36,24.6,32.3,31.2,36.2,34.3,28.6,45.6,41.4,36.6,,34.68,6.042773462
-12.3333,-42.5556,-99.6667,-66.1111,-0.444444,-94.7778,-12.1111,-100,-100,-61.4444,,36,24.6,32.3,31.2,36.2,34.3,28.6,45.6,41.4,36.6,,34.68,6.042773462
-100,-100,-100,-38.7778,-1.55556,-100,-100,-6.33333,-70.1111,-100,,36,24.6,32.3,31.2,36.2,34.3,28.6,45.6,41.4,36.6,,34.68,6.042773462
-100,-100,-33,-53.5556,-100,-84,-42.3333,-100,-24.1111,-19.4444,,36,24.6,32.3,31.2,36.2,34.3,28.6,45.6,41.4,36.6,,34.68,6.042773462
-63.6667,-30.1111,-100,-100,-100,-4.22222,32.8,-100,-5,-100,,36,24.6,32.3,31.2,36.2,34.3,32.8,45.6,41.4,36.6,,35.1,5.710030161
-100,-29.1111,-100,-62.7778,-16.6667,-100,-100,-28.6667,-100,-100,,36,24.6,32.3,31.2,36.2,34.3,32.8,45.6,41.4,36.6,,35.1,5.710030161
-100,-100,-41.1111,-100,-94.1111,-100,1.6,35.5,-100,-18.3333,,36,24.6,32.3,31.2,36.2,34.3,32.8,45.6,41.4,36.6,,35.1,5.710030161
-100,-43.8889,-77.6667,-50.8889,-100,-37,-100,-7.33333,-100,-100,,36,24.6,32.3,31.2,36.2,34.3,32.8,45.6,41.4,36.6,,35.1,5.710030161
-100,-23,-37.7778,-16,-3.55556,-84,-66.4444,9.4,-58,-100,,36,24.6,32.3,31.2,36.2,34.3,32.8,45.6,41.4,36.6,,35.1,5.710030161
-2.11111,-100,-100,-39.3333,-100,-100,-38.2222,-100,-100,-78.2222,,36,24.6,32.3,31.2,36.2,34.3,32.8,45.6,41.4,36.6,,35.1,5.710030161
